Depth,Qc,Fs,u
9.66,14.395,0.118,0.0698
9.68,13.819,0.115,0.07
9.7,13.15,0.114,0.0701
9.72,12.503,0.113,0.07
9.74,11.852,0.11,0.0691
9.76,11.187,0.108,0.0688
9.78,10.735,0.104,0.0696
9.8,10.735,0.104,0.0696
9.82,12.589,0.101,0.074
9.84,12.402,0.097,0.0401
9.86,12.021,0.071,0.017
9.88,11.525,0.063,0.0169
9.9,10.644,0.056,0.0157
9.92,10.174,0.054,0.0152
9.94,9.734,0.059,0.0177
9.96,9.442,0.062,0.0193
9.98,9.813,0.068,0.0204
10.0,10.171,0.075,0.0251
10.02,10.248,0.078,0.0269
10.04,10.172,0.08,0.0219
10.06,9.333,0.075,0.0192
10.08,8.779,0.07,0.0199
10.1,8.342,0.069,0.0212
10.12,8.07,0.069,0.0238
10.14,8.111,0.07,0.0251
10.16,9.338,0.071,0.0272
10.18,10.009,0.073,0.0293
10.2,10.334,0.077,0.0316
10.22,10.167,0.074,0.032
10.24,9.708,0.072,0.0327
10.26,9.435,0.078,0.0791
10.28,10.678,0.078,0.08
10.3,11.384,0.088,0.0781
10.32,12.176,0.095,0.0743
10.34,12.568,0.09,0.0729
10.36,13.046,0.084,0.0717
10.38,13.237,0.084,0.0723
10.4,13.701,0.086,0.072
10.42,13.87,0.097,0.0732
10.44,14.122,0.102,0.0751
10.46,14.758,0.107,0.077
10.48,15.154,0.1,0.0792
10.5,15.481,0.099,0.0799
10.52,16.154,0.099,0.0798
10.54,16.524,0.102,0.0798
10.56,16.956,0.106,0.0798
10.58,17.121,0.107,0.0791
10.6,17.236,0.111,0.0806
10.62,17.427,0.114,0.0805
10.64,17.549,0.12,0.0805
10.66,17.783,0.128,0.0803
10.68,18.182,0.127,0.0792
10.7,18.366,0.127,0.0786
10.72,18.405,0.127,0.0791
10.74,18.308,0.129,0.0821
10.76,18.233,0.131,0.0836
10.78,18.315,0.13,0.0836
10.8,18.387,0.135,0.0841
10.82,18.402,0.139,0.084
10.84,18.441,0.137,0.0832
10.86,18.312,0.14,0.0831
10.88,18.312,0.144,0.0835
