easting,northing,vs30,uncertainty
1575046.8442862213,5181200.8924621055,192.20518,0.20000000298023224
1576113.1618921743,5181466.313938245,192.2851,0.20000000298023224
1576744.9084052632,5181471.327617008,186.39116,0.20000000298023224
1577963.4232822093,5181214.959398292,177.975,0.20000000298023224
1578765.106946876,5180836.130651141,199.13791,0.20000000298023224
1565352.6442929914,5180105.017689117,167.33095,0.20000000298023224
1566417.9724559034,5180598.867226989,177.344,0.20000000298023224
1567358.8799590133,5180163.0616253875,183.57124,0.20000000298023224
1567979.3880036338,5180280.537522836,161.97495,0.20000000298023224
1569274.8774164103,5180602.95797327,194.67313,0.20000000298023224
1570145.5542195346,5180168.653201323,169.15259,0.20000000298023224
1571020.7121085161,5180194.671315091,182.5936,0.20000000298023224
1571824.3908441144,5180400.616366018,202.78473,0.20000000298023224
1573253.8425407857,5179918.847731014,180.94688,0.20000000298023224
1573943.0593466046,5180253.236457409,184.28987,0.20000000298023224
1575376.7408020599,5180163.311912646,183.86073,0.20000000298023224
1575958.5129524223,5179973.903238802,184.41458,0.20000000298023224
1578308.2966824716,5180655.192578248,202.84523,0.20000000298023224
1578886.0804510878,5179880.019717246,180.0788,0.20000000298023224
1559817.5190981424,5178618.352900959,245.63452,0.20000000298023224
1563186.2473293184,5179146.2962032175,216.77225,0.20000000298023224
1563593.09743015,5179088.33318659,204.01785,0.20000000298023224
1566353.2946997185,5179332.342382424,202.59218,0.20000000298023224
1567197.4791220669,5179161.936061406,181.45425,0.20000000298023224
1568587.9414011498,5179231.4594075605,173.18083,0.20000000298023224
1569140.9822375027,5179094.531944501,157.58362,0.20000000298023224
1570047.6231743023,5179274.494754676,183.03934,0.20000000298023224
1571124.4508167251,5179317.015066743,174.77376,0.20000000298023224
1572074.5793247747,5179261.068318557,153.29865,0.20000000298023224
1573030.9517129483,5179256.10103775,173.71118,0.20000000298023224
1573958.335626678,5179190.655789797,191.93857,0.20000000298023224
1574862.2199708482,5179357.117178477,190.59962,0.20000000298023224
1575916.5489939677,5179300.670384625,178.21489,0.20000000298023224
1579113.253449197,5179254.279082403,197.86664,0.20000000298023224
1559777.2859432776,5178573.867272668,244.03906,0.20000000298023224
1563830.028245079,5178624.014723533,182.00475,0.20000000298023224
1565454.9483091396,5177826.376894782,224.42552,0.20000000298023224
1566126.4295130833,5178135.286283833,183.78494,0.20000000298023224
1566998.8480514993,5178085.3379993,160.11989,0.20000000298023224
1567969.7360993216,5177800.983370038,177.48816,0.20000000298023224
1569000.575356458,5178076.91802382,150.79477,0.20000000298023224
1570089.8968842968,5178175.92103462,172.86806,0.20000000298023224
1571130.7373114533,5178216.943185368,165.74644,0.20000000298023224
1572089.1087003136,5178241.967399763,170.23106,0.20000000298023224
1573142.1913113052,5178246.002003171,194.69577,0.20000000298023224
1574007.595201174,5178290.513223327,196.95844,0.20000000298023224
1575037.6899509681,5178076.631578475,177.54152,0.20000000298023224
1575644.6919640647,5178199.601717292,184.11772,0.20000000298023224
1579343.4288252292,5178507.588732034,196.91728,0.20000000298023224
1563475.9852802912,5176980.611822882,183.82162,0.20000000298023224
1564067.0050119173,5177138.0784246735,178.52142,0.20000000298023224
1565031.6188632303,5177602.444278758,200.41577,0.20000000298023224
1566285.6582767165,5177209.143219218,185.90192,0.20000000298023224
1567074.3526852245,5177283.146303941,179.78906,0.20000000298023224
1568173.182106714,5177199.722188505,177.33463,0.20000000298023224
1569030.6015845055,5177130.783886404,170.28088,0.20000000298023224
1570182.1472449764,5177233.290173235,192.90164,0.20000000298023224
1570980.579371915,5177339.279786186,164.5333,0.20000000298023224
1571963.4448321806,5177247.3528243955,181.6769,0.20000000298023224
1573029.0186631428,5177332.358389834,173.75996,0.20000000298023224
1573963.8995609195,5177220.93575194,196.77559,0.20000000298023224
1574788.3113200075,5177442.3761005625,185.47987,0.20000000298023224
1575987.5840031435,5177262.988076574,198.32352,0.20000000298023224
1576340.9429967094,5177197.526393313,192.25317,0.20000000298023224
1578566.030920073,5177344.539139815,184.4749,0.20000000298023224
1578854.1648797214,5177271.5777561,174.67438,0.20000000298023224
1562915.0000950047,5175873.498811925,181.53586,0.20000000298023224
1564120.0252483105,5176278.902386564,184.4472,0.20000000298023224
1564533.110808543,5176443.858711835,181.45413,0.20000000298023224
1566043.0683925038,5175729.195105994,189.27417,0.20000000298023224
1566804.5078303767,5176118.579601952,162.03189,0.20000000298023224
