index,easting,northing,vs30,uncertainty,source
284,1.79457e+06,5.819346e+06,143.852,0.5,cpt
285,1.79559e+06,5.819251e+06,137.23764,0.5,cpt
286,1.5748555e+06,5.1840065e+06,198.13899,0.5,cpt
287,1.5640412e+06,5.176932e+06,157.72176,0.5,cpt
288,1.8894745e+06,5.82004e+06,129.82976,0.5,cpt
289,1.5640084e+06,5.176874e+06,209.69928,0.5,cpt
290,1.559344e+06,5.168055e+06,218.3496,0.5,cpt
291,1.765838e+06,5.91658e+06,165.96611,0.5,cpt
292,1.5736894e+06,5.181228e+06,160.16347,0.5,cpt
293,1.559072e+06,5.168877e+06,217.86661,0.5,cpt
295,1.559223e+06,5.16896e+06,175.9387,0.5,cpt
296,1.572125e+06,5.1817515e+06,185.08911,0.5,cpt
297,1.5779698e+06,5.1768985e+06,203.10889,0.5,cpt
298,1.5737571e+06,5.1813825e+06,189.79042,0.5,cpt
299,1.565872e+06,5.17154e+06,175.71901,0.5,cpt
300,1.8748505e+06,5.821481e+06,122.10375,0.5,cpt
301,1.8754991e+06,5.821209e+06,158.23193,0.5,cpt
302,1.878285e+06,5.826209e+06,117.53216,0.5,cpt
303,1.7596839e+06,5.433122e+06,180.45459,0.5,cpt
304,1.8789334e+06,5.8237585e+06,138.75818,0.5,cpt
305,1.5762869e+06,5.181978e+06,189.26459,0.5,cpt
306,1.5763024e+06,5.1819965e+06,186.30804,0.5,cpt
307,1.5759879e+06,5.1821275e+06,217.49985,0.5,cpt
308,1.762125e+06,5.431533e+06,154.37178,0.5,cpt
309,1.5699211e+06,5.1790935e+06,189.84612,0.5,cpt
310,1.881579e+06,5.828328e+06,194.4705,0.5,cpt
311,1.9495006e+06,5.789066e+06,155.77074,0.5,cpt
312,1.878322e+06,5.826152e+06,138.28244,0.5,cpt
314,1.5571e+06,5.166621e+06,202.85532,0.5,cpt
315,1.57197e+06,5.18275e+06,170.07074,0.5,cpt
316,1.8950508e+06,5.8183625e+06,175.36768,0.5,cpt
317,1.559139e+06,5.168954e+06,188.18056,0.5,cpt
318,1.792171e+06,5.772208e+06,149.41481,0.5,cpt
319,1.792226e+06,5.772382e+06,171.39076,0.5,cpt
320,1.8062431e+06,5.808052e+06,192.75711,0.5,cpt
321,1.5743155e+06,5.182626e+06,158.96167,0.5,cpt
322,1.805226e+06,5.791842e+06,168.66585,0.5,cpt
323,1.79416e+06,5.81988e+06,163.70238,0.5,cpt
324,1.799467e+06,5.815152e+06,148.53357,0.5,cpt
325,1.795967e+06,5.818528e+06,138.21191,0.5,cpt
326,1.7986e+06,5.813547e+06,128.15594,0.5,cpt
327,1.796603e+06,5.819209e+06,180.64919,0.5,cpt
328,1.785815e+06,5.871751e+06,102.008385,0.5,cpt
329,1.796089e+06,5.820628e+06,191.54378,0.5,cpt
330,1.796632e+06,5.819419e+06,161.63692,0.5,cpt
331,1.80532e+06,5.791569e+06,159.65427,0.5,cpt
332,1.795682e+06,5.81804e+06,140.95714,0.5,cpt
333,1.796098e+06,5.818115e+06,124.82444,0.5,cpt
334,1.796174e+06,5.819658e+06,179.98557,0.5,cpt
335,1.796035e+06,5.819911e+06,177.84631,0.5,cpt
336,1.797539e+06,5.823098e+06,142.45479,0.5,cpt
337,1.797605e+06,5.823128e+06,161.51991,0.5,cpt
338,1.764539e+06,5.814565e+06,125.41267,0.5,cpt
339,1.822428e+06,5.829259e+06,181.34377,0.5,cpt
340,1.6854856e+06,5.4011895e+06,160.25229,0.5,cpt
341,1.568144e+06,5.186489e+06,196.63138,0.5,cpt
342,1.568111e+06,5.186608e+06,156.20808,0.5,cpt
343,1.568061e+06,5.186597e+06,148.92088,0.5,cpt
344,1.568181e+06,5.186379e+06,180.5953,0.5,cpt
345,1.5717344e+06,5.1848945e+06,210.84859,0.5,cpt
