"","index","easting","northing","slp09c","slp30c"
"467",24261,2659060.63700058,5989336.36309551,NA,0.0391857145923496
"468",24607,2659035.97946103,5990617.9549087,0.0282417543886059,0.0680991726276535
"469",24261,2658966.68464405,5990482.40468191,0.0273260485671605,0.0680991726276535
"470",24261,2658810.52668184,5989396.9973303,0.0461435072692529,0.0391857145923496
"471",24926,2661370.23279726,5985156.65919896,0.0043398211409181,0.0193757895617339
"472",24733,2658461.26722466,5989526.28455418,0.120870012353701,0.0391857145923496
"473",24717,2658511.35185916,5988692.16492855,0.0479126893178935,0.0275013465360855
"474",24717,2658562.27226793,5988724.45456547,0.0479126893178935,0.0275013465360855
"475",24717,2658697.61060022,5988788.35175976,0.0208794517821967,0.0275013465360855
"476",20771,2658092.04221784,5989911.4430275,0.0440461555339191,0.0700686056051538
"477",20771,2658091.14282236,5989867.02929738,0.0440461555339191,0.0719870362719341
"478",24717,2658799.22886773,5988841.82479495,0.0208794517821967,0.0275013465360855
"479",24862,2659016.04614711,5987148.97862925,0.0388016081214922,0.0342163252166815
"480",24288,2533228.15202209,5993406.49589199,0.0547651740566457,0.0119898413486336
"481",17141,2846840.91394381,6183332.71444625,0.0734468552238105,0.0210491904241265
"482",17680,2842803.87730116,6163193.9447059,0.0261934035086964,0.0170858976058555
"483",9589,2846441.30003535,6349976.16385236,0.000688073202941638,0.000623465788576941
"484",10241,2834902.91080789,6339663.48005649,0.0171918875777915,0.00980719297496379
"485",8379,2788669.24431829,6384418.68268324,0.00688137839699511,0.00390796397395263
"486",24206,2669898.84990434,5994161.79855313,0.0177087524704314,NA
"487",22898,2669701.68044309,5997809.63302802,0.007482589750913,0.0281185087245376
"488",46401,2168356.26482496,5566159.04288149,0.108455483389929,0.113739774954685
"489",24261,2658978.47840542,5989004.79580065,0.0148382985387613,0.0391857145923496
"490",40377,2409395.05503553,5699807.7817905,0.00880104309360729,0.00572063998672476
"491",33226,2397425.70439797,5825644.61214897,0.215564227960194,0.0964905395615387
"492",39959,2507074.34013043,5710725.841366,NA,0.0458523239468515
"493",36370,2488122.73949963,5783602.04878306,0.00377039957370569,0.00927926186399068
"494",35390,2393135.72792877,5805489.22975607,0.127009694755298,0.0700268500775162
"495",24282,2672930.37611383,5994262.71239996,0.0959173534019712,0.0301881453195902
"496",32359,2379194.2836213,5852456.38675607,0.020968280104673,0.024059622311571
"497",37068,2477212.88684532,5770256.08726994,0.0180072343992216,0.0116487673690534
"498",43790,2300376.45915448,5613600.32619559,0.140842164281961,0.0364698733557795
"499",51996,2256848.49507686,5434804.98253156,0.0247654943782094,0.0140794776051187
"500",43642,2287031.37965711,5623418.4652363,0.219585888493822,0.0315475995067835
"501",21109,2784350.70800854,6053456.28314798,0.105940479232,0.0590853508813168
"502",10723,2811771.71610664,6220632.12933768,0.196393416643664,0.074399060604377
"503",20771,2671540.39725716,5999925.87931286,0.0839960110267515,0.0758926984680502
"504",24576,2520737.80728754,5979725.12847523,0.0243294760717768,0.0491441958011251
"505",37788,2484300.35467512,5747399.66650453,0.00172375094336706,0.000785664817823781
"506",25649,2585627.40309503,5973755.63312546,0.10498460792837,0.0641917392016293
"507",37787,2471991.41798191,5747035.04069208,0.0052405877953516,0.00532546706564822
"508",37787,2479284.21689048,5741942.23648419,0.00351403134149648,0.00331260995938272
"509",37787,2481515.41996603,5740981.15270537,0.0110895444629562,0.00365272476174858
"510",37787,2480292.05657285,5741625.62685281,0.0133439425614623,0.00306781286330186
"511",34085,2532488.52314599,5821507.09093789,0.0227635401981839,0.0217218316327978
"512",37787,2479905.60578865,5741213.73600892,0.00549799535858472,0.00331260995938272
"513",37787,2479649.8582692,5737913.99928032,0.001435455861679,0.0217186820447404
"514",22276,2781325.34484858,6029215.31459294,NA,0.0261668416239042
"515",38692,2479577.65653979,5736899.25396816,0.0849658610800567,0.0419068056995839
"516",48494,2029478.66569912,5528174.06176386,0.0711625665510411,0.121254132147598
"517",36968,2406320.58194816,5774862.84210496,0.0557600458653312,0.0521361886646442
"518",37360,2459823.27886481,5765941.11818742,0.0114644328265165,0.00240368860582082
"519",24717,2658587.06422038,5988637.84732617,0.0474211794905919,0.0275013465360855
"520",33445,2493849.68763825,5827524.94711247,0.00966742958259036,0.0198363407685319
"521",42429,2351124.47510417,5645252.57767257,0.287815521543871,0.130409433720457
"522",37787,2483794.90133624,5743301.88562157,0.000396147287098884,0.000755771609844903
"523",38667,2479722.47629798,5730479.50136342,0.0846429784244788,0.0379856223430344
"524",37787,2483589.66285826,5743889.94132698,0.000375589305061435,0.000870928378615678
"525",22898,2673880.57444229,5998272.74314367,0.0711889678714304,0.0768503164560956
"526",51213,2315942.33728794,5478530.87141997,0.0791374571356036,0.0680710412831117
"527",49322,2053074.60107021,5510778.42428701,0.161226891772082,0.081053275409004
"528",47844,2036826.57600262,5538807.64318556,NA,0.156436272708
