CPT_ID, Latitude, Longitude, NZMG Easting, NZMG Northing, NZTM Easting, NZTM Northing, Vs30
13713,-43.512059,172.710445,2486598.55,5743891.12,1576595.75,5182278.62,189.190707
13729,-43.5621,172.6873,2484747.79,5738324.72,1574745.9,5176714.38,168.1641
13730,-43.5617,172.6875,2484763.79,5738369.22,1574761.88,5176758.87,175.985259
13732,-43.5615,172.6871,2484731.39,5738391.32,1574729.49,5176780.96,173.750279
13755,-43.5589,172.6823,2484342.48,5738678.74,1574340.73,5177068.24,189.567304
13778,-43.512604,172.709639,2486533.59,5743830.34,1576530.82,5182217.86,196.571265
13781,-43.516447,172.710287,2486587.52,5743403.54,1576584.74,5181791.24,186.73011
14011,-43.510749,172.712186,2486738.88,5744037.17,1576736.02,5182424.62,194.624216
14014,-43.512194,172.7144,2486918.45,5743877.23,1576915.52,5182264.74,191.274999
14929,-43.512757,172.711219,2486661.43,5743813.87,1576658.61,5182201.4,194.853297
15342,-43.497607,172.691359,2485049.33,5745491.29,1575047.11,5183878.13,196.417019
15362,-43.497761,172.692044,2485104.82,5745474.34,1575102.58,5183861.18,197.878545
15369,-43.497573,172.691163,2485033.51,5745494.96,1575031.3,5183881.79,192.954738
15844,-43.553824,172.69606,2485452.18,5739246.82,1575449.97,5177636.14,187.488866
16210,-43.512332,172.711667,2486697.49,5743861.11,1576694.65,5182248.62,193.451539
17176,-43.520194,172.710761,2486627.25,5742987.37,1576624.46,5181375.23,191.994064
17463,-43.554935,172.695271,2485388.95,5739123.11,1575386.77,5177512.48,188.799529
17722,-43.548014,172.696125,2485455.1,5739892.4,1575452.87,5178281.46,197.963805
18610,-43.550214,172.697169,2485540.41,5739648.26,1575538.15,5178037.42,200.674331
18616,-43.554846,172.696107,2485456.45,5739133.24,1575454.24,5177522.61,189.16393
18801,-43.498681,172.691785,2485084.23,5745372.11,1575082,5183758.99,191.452384
23265,-43.559408,172.706943,2486333.79,5738629.54,1576331.24,5177019.14,187.258519
23787,-43.551537,172.696322,2485472.47,5739500.99,1575470.24,5177890.21,185.553203
23998,-43.483128,172.686219,2484627.6,5747098.4,1574625.52,5185484.6,189.518991
24510,-43.51216,172.712113,2486733.49,5743880.39,1576730.64,5182267.9,181.268672
24511,-43.512107,172.71224,2486743.74,5743886.32,1576740.88,5182273.82,176.633723
24572,-43.548984,172.698271,2485628.94,5739785.2,1575626.65,5178174.31,196.034523
24573,-43.548755,172.698495,2485646.96,5739810.71,1575644.65,5178199.81,184.117727
24575,-43.551291,172.695819,2485431.73,5739528.17,1575429.51,5177917.38,193.620718
24577,-43.551317,172.696066,2485451.69,5739525.35,1575449.47,5177914.56,190.293041
24583,-43.552526,172.695668,2485420.02,5739390.91,1575417.82,5177780.17,181.225152
24584,-43.552427,172.695685,2485421.35,5739401.92,1575419.15,5177791.17,184.967497
24586,-43.553896,172.691913,2485117.15,5739237.59,1575115.07,5177626.91,183.468793
24588,-43.550378,172.696655,2485498.91,5739629.85,1575496.67,5178019.02,195.927324
24591,-43.550448,172.696876,2485516.8,5739622.14,1575514.55,5178011.31,187.818557
24599,-43.481793,172.686652,2484662.1,5747246.86,1574660,5185633,178.43421
24602,-43.550288,172.698033,2485610.23,5739640.25,1575607.95,5178029.42,194.352272
24603,-43.481775,172.686813,2484675.1,5747248.86,1574673,5185635,182.85211
24606,-43.550102,172.698122,2485617.35,5739660.94,1575615.06,5178050.1,197.558384
24616,-43.481539,172.686888,2484681.1,5747275.1,1574678.99,5185661.23,179.784724
24626,-43.481428,172.6869,2484682,5747287.5,1574679.89,5185673.63,184.020224
24629,-43.481922,172.686613,2484659,5747232.5,1574656.9,5185618.65,188.23238
24724,-43.552236,172.697414,2485561,5739423.6,1575558.74,5177812.85,183.158325
24725,-43.552114,172.697373,2485557.6,5739437.2,1575555.34,5177826.45,188.600447
24726,-43.552125,172.697228,2485545.9,5739435.9,1575543.64,5177825.15,191.94428
24767,-43.550915,172.695505,2485406.2,5739569.81,1575404,5177959,186.582073
24855,-43.556797,172.697837,2485597,5738917,1575594.74,5177306.46,169.012078
24856,-43.557059,172.698318,2485636,5738888,1575633.73,5177277.47,183.092031
25137,-43.515888,172.711068,2486650.42,5743465.91,1576647.61,5181853.58,181.229475
25139,-43.515985,172.711244,2486664.69,5743455.18,1576661.87,5181842.86,195.975516
25140,-43.515894,172.710685,2486619.45,5743465.14,1576616.65,5181852.81,182.525577
25156,-43.490342,172.691357,2485046.23,5746298.48,1575044,5184685,204.320906
25167,-43.489696,172.692193,2485113.57,5746370.46,1575111.31,5184756.95,207.657119
26250,-43.563682,172.70735,2486368.33,5738154.79,1576365.78,5176544.58,169.880431
