NZTM_X NZTM_Y Vs30
1764074.0 5907709.0 143.64932307562674
1885289.0 5774587.0 127.02001895014968
1885086.0 5774730.0 137.204765021732
1574941.96941375 5181063.792274158 
1893683.044910736 5815566.61758603 131.90268850578974
1574935.694480686 5181346.010655295 164.5267648793836
1574183.2657517118 5182817.3142037215 165.592625836306
1565557.198157419 5173789.580715415 187.35525405610178
1877580.0 5822072.2 125.0316650354767
1877297.0 5821768.0 137.32757713837412
1881435.0 5828613.0 174.11300300640792
1884280.12208956 5824221.517694991 141.99919926288203
1884739.465316155 5823354.5069205025 118.78064559393688
1884940.8570326718 5823560.914129071 206.46713060283116
1875107.25068384 5820946.707815785 162.6131173866416
1576845.908024433 5183784.728993838 185.68169164949057
1572854.3129826668 5196926.10951393 225.73581339877722
1573105.347110695 5196789.819178173 215.9258455180897
1573053.6271809782 5196859.5433355 185.47486616251223
1570815.271851301 5181701.910005852 169.3521269419086
1574740.207126512 5181158.319769163 
1570563.1044873518 5186574.134697055 176.5363452766218
1762163.92 5431435.32 121.61936873133178
1568451.4 5180920.8 152.4409019662452
1570457.9875901332 5186894.960464545 208.35677311961214
1570455.955807762 5186880.498364166 203.960658060919
1570289.658831629 5186849.994639087 210.65109447416236
1570380.189203461 5186835.60611722 169.08159630066072
1570518.59236917 5186847.980325024 187.80405931822824
1570331.384863578 5186745.398735402 160.3023204018143
1797443.91 5817269.49 181.6024389689112
1797082.31 5817687.74 150.31076059946272
1798077.78 5814134.69 128.7360136789674
1571301.4 5180240.2 154.77203750422535
1568592.08312544 5183948.536284721 138.42463871215017
1879418.521063263 5824065.814508404 151.37706085547836
1879347.2087874159 5824077.339411532 150.1549640738627
1573404.16661353 5181504.978800581 155.87155992789022
1879401.034317605 5824130.965014578 152.6015493144046
1623254.111807295 5431868.933335084 157.47242081011916
1623168.873766113 5431879.742563603 140.61727297904267
1570818.1975367519 5176917.078540827 144.69467747327874
1564049.9672305118 5171270.786773924 183.82696621342362
1575101.092428939 5182405.846596875 189.98045017756027
1623240.235907897 5431982.879759147 152.16910403576912
1796230.0 5820169.0 151.44737529800582
1795880.0 5818812.0 145.22803278968144
1796419.0 5817611.0 154.21898092882486
1794570.0 5819346.0 143.85201157518225
1795590.0 5819251.0 137.23764019867482
1574855.5 5184006.5 198.13899573378495
1564041.3 5176932.1 157.72175812331184
1889474.503856621 5820040.061228667 129.82976084547852
1564008.4 5176874.0 209.69927600345642
1559344.0 5168055.0 218.3495982918312
1765838.01 5916580.23 165.9661061142956
1573689.3716566209 5181227.874904209 160.16346233028102
1559072.0 5168877.0 217.86661488213238
1560069.0 5168582.0 
1559223.0 5168960.0 175.938700702687
1572124.980998964 5181751.46952987 185.0891070947657
1577969.788573774 5176898.700176639 203.1088855246997
1573757.130647126 5181382.25615257 189.79042126865056
1565871.9740000002 5171540.16 175.71901076945264
1874850.5465481982 5821480.817685752 122.10375381350873
1875499.0862205182 5821209.179155652 158.23194012800033
1878285.0 5826209.0 117.53216115948352
1759683.9 5433122.0 180.4545935472366
1878933.325133956 5823758.314542228 138.75818439761608
1576286.9 5181977.8 189.26458565717465
1576302.4 5181996.3 186.3080426490463
1575987.936007192 5182127.386893729 217.49985301876308
1762124.96 5431532.93 154.37178394122193
1569921.163377576 5179093.696178783 189.84612204936587
1881579.0 5828328.0 194.47050896878162
1949500.67 5789066.1 155.77073016351127
1878322.0 5826152.0 138.28243693534813
