"x","y","longitude","latitude","Vs30","lnMeasUncer","QualityFlag","StationID","Source","Vs30_AhdiAK_noQ3_hyb09c","stDv_AhdiAK_noQ3_hyb09c","Vs30_YongCA_noQ3","stDv_YongCA_noQ3"
1573587.71514873,5182276.28519458,172.673230000106,-43.5119800022241,210,0.5,"Q3","DALS","KaiserEtAl",197,0.202629769603115,198.64481157494,0.205256370217328
1763856.63487456,5436556.90148837,174.954359817111,-41.205786683053,600,0.5,"Q3","DAVS","KaiserEtAl",240,0.243194395377149,317.368444092771,0.33166247903554
1406150.52867575,4916880.51350687,170.502155509031,-45.8743351055234,600,0.5,"Q3","DCDS","KaiserEtAl",690.974348966211,0.446036993981441,297,0.5
1142961.8873877,4948773.34038658,167.153533462991,-45.4647131929114,1500,0.5,"Q3","DCZ","KaiserEtAl",690.974348966211,0.446036993981441,323.504047697085,0.407430975749267
1126642.95531571,4976846.7154123,166.972742814002,-45.2025652671086,1500,0.5,"Q3","DECF","KaiserEtAl",690.974348966211,0.446036993981441,NA,NA
1527402.17340937,5184413.84625349,172.102159687105,-43.4896746242464,270,0.5,"Q3","DFHS","KaiserEtAl",500,0.243194395377149,202.125866002814,0.206820130727133
1407021.65659863,4918216.69569007,170.513905737032,-45.8625648015329,600,0.5,"Q3","DGNS","KaiserEtAl",246.6138371423,0.344601218802256,216.62368022053,0.254950975679639
1577997.16683481,5169155.89643517,172.727250000105,-43.6302600021356,690,0.5,"Q3","DHSS","KaiserEtAl",472.749388885179,0.354562104171167,284.470950299338,0.360555127546399
1405532.39895376,4913759.35928543,170.49293522103,-45.9022258795003,210,0.5,"Q3","DKHS","KaiserEtAl",240,0.243194395377149,198.64481157494,0.205256370217328
1527222.45143287,5139194.06295415,172.093827514098,-43.896765184946,270,0.5,"Q3","DORC","KaiserEtAl",240,0.243194395377149,202.125866002814,0.206820130727133
1535335.81609584,5164743.65291877,172.197920040102,-43.6674994761132,270,0.5,"Q3","DSLC","KaiserEtAl",500,0.243194395377149,202.125866002814,0.206820130727133
1500605.85578039,5377849.4466319,171.804614445137,-41.7449608246245,450,0.5,"Q3","DSZ","KaiserEtAl",455,0.545,297,0.5
1403813.74861195,4913379.22094312,170.47064490303,-45.9051559004982,500,0.2,"Q2","DUNS","KaiserEtAl",690.974348966211,0.446036993981441,535.786417756242,0.380788655293195
1863972.78234821,5545242.09095256,176.101365080089,-40.2016964969178,360,0.5,"Q3","DVHS","KaiserEtAl",500,0.243194395377149,202.125866002814,0.206820130727133
1310207.10882303,4984749.16639398,169.308253387033,-45.2310533980346,1000,0.5,"Q3","EAZ","KaiserEtAl",690.974348966211,0.446036993981441,535.786417756242,0.380788655293195
1759115.42693045,5427371.44205312,174.900235673112,-41.2894280159825,540,0.2,"Q2","EBPS","KaiserEtAl",239,0.217057738584898,519,0.5
1836990.27756968,5485938.04708483,175.806880000098,-40.7433900044477,270,0.5,"Q3","EKS2","KaiserEtAl",500,0.243194395377149,216.62368022053,0.254950975679639
1838810.50485509,5501759.05341737,175.822400000097,-40.6005100045708,270,0.5,"Q3","EKS3","KaiserEtAl",500,0.243194395377149,216.62368022053,0.254950975679639
1829032.2576609,5496622.76032723,175.708828445099,-40.6494954245283,800,0.5,"Q3","EKTS","KaiserEtAl",500,0.243194395377149,198.64481157494,0.205256370217328
1547823.35295905,5192188.20754181,172.355440000107,-43.4213800022949,270,0.5,"Q3","EYRS","KaiserEtAl",500,0.243194395377149,202.125866002814,0.206820130727133
1818961.35448044,5545366.48972194,175.573048430098,-40.2135355699061,270,0.5,"Q3","FAHS","KaiserEtAl",335.279503497185,0.602886888230288,198.64481157494,0.205256370217328
1762657.01071208,5436404.56605977,174.940100000111,-41.2074000040516,760,0.5,"Q3","FAIS","KaiserEtAl",455,0.545,323.504047697085,0.407430975749267
1426205.28896889,5114877.23498627,170.828699884085,-44.098657035816,301,0.5,"Q3","FDCS","KaiserEtAl",246.6138371423,0.344601218802256,202.125866002814,0.206820130727133
